,USDCAD=X,USDCAD=X,USDCAD=X,USDCAD=X,USDCAD=X,USDCAD=X,^VIX,^VIX,^VIX,^VIX,^VIX,^VIX,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
2018-01-24,1.2414599657058716,1.2424900531768799,1.2317999601364136,1.2414300441741943,1.2414300441741943,0.0,11.0,12.1899995803833,10.890000343322754,11.470000267028809,11.470000267028809,0.0,16360.7998046875,16365.0,16238.400390625,16284.2001953125,16284.2001953125,24579240000.0,2845.419921875,2852.969970703125,2824.81005859375,2837.5400390625,2837.5400390625,4014070000.0
2018-01-25,1.2348999977111816,1.2349400520324707,1.2282500267028809,1.2352499961853027,1.2352499961853027,0.0,11.270000457763672,12.010000228881836,11.199999809265137,11.579999923706055,11.579999923706055,0.0,16309.400390625,16315.099609375,16194.2998046875,16204.0,16204.0,23494400000.0,2846.239990234375,2848.56005859375,2830.93994140625,2839.25,2839.25,3835150000.0
2018-01-26,1.2380900382995605,1.2383699417114258,1.230299949645996,1.2375999689102173,1.2375999689102173,0.0,11.399999618530273,11.600000381469727,11.079999923706055,11.079999923706055,11.079999923706055,0.0,16227.2001953125,16239.7001953125,16180.7001953125,16239.2001953125,16239.2001953125,20211280000.0,2847.47998046875,2872.8701171875,2846.179931640625,2872.8701171875,2872.8701171875,3443230000.0
2018-01-29,1.231410026550293,1.2358200550079346,1.2310999631881714,1.2312999963760376,1.2312999963760376,0.0,11.710000038146973,13.84000015258789,11.680000305175781,13.84000015258789,13.84000015258789,0.0,16195.7001953125,16195.7001953125,16090.7001953125,16094.7001953125,16094.7001953125,20016140000.0,2867.22998046875,2870.6201171875,2851.47998046875,2853.530029296875,2853.530029296875,3573830000.0
2018-01-30,1.2335400581359863,1.2378300428390503,1.2309999465942383,1.2334200143814087,1.2334200143814087,0.0,13.930000305175781,15.420000076293945,13.880000114440918,14.789999961853027,14.789999961853027,0.0,16030.2001953125,16054.5,15947.099609375,15955.5,15955.5,22704500000.0,2832.739990234375,2837.75,2818.27001953125,2822.429931640625,2822.429931640625,3990650000.0
2018-01-31,1.233590006828308,1.2346400022506714,1.225450038909912,1.2336100339889526,1.2336100339889526,0.0,14.229999542236328,14.4399995803833,13.40999984741211,13.539999961853027,13.539999961853027,0.0,15956.099609375,15979.900390625,15898.7001953125,15951.7001953125,15951.7001953125,24979030000.0,2832.409912109375,2839.260009765625,2813.0400390625,2823.81005859375,2823.81005859375,4261280000.0
2018-02-01,1.2303500175476074,1.2330900430679321,1.2268799543380737,1.2302000522613525,1.2302000522613525,0.0,13.050000190734863,14.300000190734863,12.5,13.470000267028809,13.470000267028809,0.0,15920.0,15922.599609375,15818.0,15860.900390625,15860.900390625,22485440000.0,2816.449951171875,2835.9599609375,2812.699951171875,2821.97998046875,2821.97998046875,3938450000.0
2018-02-02,1.2258000373840332,1.2404099702835083,1.2257000207901,1.2260600328445435,1.2260600328445435,0.0,13.640000343322754,17.860000610351562,13.640000343322754,17.309999465942383,17.309999465942383,0.0,15780.5,15783.0,15600.900390625,15606.0,15606.0,23325110000.0,2808.919921875,2808.919921875,2759.969970703125,2762.1298828125,2762.1298828125,4301130000.0
2018-02-05,1.243340015411377,1.249250054359436,1.2396999597549438,1.2431999444961548,1.2431999444961548,0.0,18.440000534057617,38.79999923706055,16.799999237060547,37.31999969482422,37.31999969482422,0.0,15490.099609375,15584.099609375,15284.400390625,15334.7998046875,15334.7998046875,26458310000.0,2741.06005859375,2763.389892578125,2638.169921875,2648.93994140625,2648.93994140625,5283460000.0
2018-02-06,1.2534300088882446,1.2564400434494019,1.2505600452423096,1.2535899877548218,1.2535899877548218,0.0,37.31999969482422,50.29999923706055,22.420000076293945,29.979999542236328,29.979999542236328,0.0,15112.2998046875,15401.7998046875,14945.7998046875,15363.900390625,15363.900390625,28921340000.0,2614.780029296875,2701.0400390625,2593.070068359375,2695.139892578125,2695.139892578125,5891660000.0
2018-02-07,1.250540018081665,1.2552599906921387,1.2496299743652344,1.2504299879074097,1.2504299879074097,0.0,31.3799991607666,31.639999389648438,21.170000076293945,27.729999542236328,27.729999542236328,0.0,15365.400390625,15421.2001953125,15325.7001953125,15330.599609375,15330.599609375,24334410000.0,2690.949951171875,2727.669921875,2681.330078125,2681.659912109375,2681.659912109375,4626570000.0
2018-02-08,1.2567299604415894,1.2612099647521973,1.2547099590301514,1.256500005722046,1.256500005722046,0.0,27.290000915527344,36.16999816894531,24.40999984741211,33.459999084472656,33.459999084472656,0.0,15335.099609375,15359.5,15065.599609375,15065.599609375,15065.599609375,25643510000.0,2685.010009765625,2685.27001953125,2580.56005859375,2581.0,2581.0,5305440000.0
2018-02-09,1.2591999769210815,1.2680599689483643,1.2565100193023682,1.259060025215149,1.259060025215149,0.0,32.18000030517578,41.060001373291016,27.729999542236328,29.059999465942383,29.059999465942383,0.0,15087.599609375,15110.900390625,14785.7998046875,15034.5,15034.5,29042960000.0,2601.780029296875,2638.669921875,2532.68994140625,2619.550048828125,2619.550048828125,5680070000.0
